Season,State(s) and territories affected,Starting date,Finishing date
1916-17,Tas,1/10/1916,25/03/1917
1916-17,Australia (except Tas),1/01/1917,25/03/1917
1917-18,Tas,28/10/1917,3/03/1918
1918-19,Tas,27/10/1918,2/03/1919
1941-42,Australia,1/01/1942,29/03/1942
1942-43,Australia,27/09/1942,28/03/1943
1943-44,Australia (except WA),3/10/1943,26/03/1944
1967-68,Tas (except King Island),1/10/1967,31/03/1968
1968-69,Tas (except King Island),27/10/1968,9/03/1969
1969-70,Tas (except King Island),26/10/1969,8/03/1970
1970-71,Tas (except King Island),25/10/1970,14/03/1971
1971-72,"Vic, NSW, ACT, SA, Tas, Qld",31/10/1971,27/02/1972
1972-73,"Vic, NSW, ACT, SA, Tas",29/10/1972,4/03/1973
1973-74,"Vic, NSW, ACT, SA, Tas",28/10/1973,3/03/1974
1974-75,"Vic, NSW, ACT, SA, Tas, WA",27/10/1974,2/03/1975
1975-76,"Vic, NSW, ACT, SA, Tas",26/10/1975,7/03/1976
1976-77,"Vic, NSW, ACT, SA, Tas",31/10/1976,6/03/1977
1977-78,"Vic, NSW, ACT, SA, Tas",30/10/1977,5/03/1978
1978-79,"Vic, NSW, ACT, SA, Tas",29/10/1978,4/03/1979
1979-80,"Vic, NSW, ACT, SA, Tas",28/10/1979,2/03/1980
1980-81,"Vic, NSW, ACT, SA, Tas",26/10/1980,1/03/1981
1981-82,"Vic, ACT, SA",25/10/1981,7/03/1982
,Tas,25/10/1981,28/03/1982
,NSW,25/10/1981,4/04/1982
1982-83,"Vic, NSW, ACT, SA",31/10/1982,6/03/1983
,Tas,31/10/1982,27/03/1983
1983-84,"Vic, NSW, ACT, SA, Tas, WA",30/10/1983,4/03/1984
1984-85,"Vic, NSW, ACT, SA, Tas",28/10/1984,3/03/1985
1985-86,"Vic, NSW, ACT, SA",27/10/1985,16/03/1986
,Tas,27/10/1985,2/03/1986
1986-87,"Vic, NSW, ACT, SA, Tas",19/10/1986,15/03/1987
1987-88,"Vic, NSW, ACT, SA, Tas",25/10/1987,20/03/1988
1988-89,"Vic, NSW, ACT, SA, Tas",30/10/1988,19/03/1989
1989-90,"Vic, SA, Tas",29/10/1989,18/03/1990
,"NSW, ACT, Qld",29/10/1989,4/03/1990
1990-91,Tas,28/10/1990,31/03/1991
,"Vic, SA, NSW, ACT, Qld",28/10/1990,3/03/1991
1991-92,"Vic, NSW, ACT, Qld",27/10/1991,1/03/1992
,SA,27/10/1991,22/03/1992
,Tas,27/10/1991,29/03/1992
,WA,17/11/1991,1/03/1992
1992-93,Tas,4/10/1992,28/03/1993
,"Vic, ACT, NSW, SA",25/10/1992,7/03/1993
1993-94,Tas,3/10/1993,27/03/1994
,"Vic, ACT, NSW",31/10/1993,6/03/1994
,SA,31/10/1993,20/03/1994
1994-95,Tas,2/10/1994,26/03/1995
,"NSW, ACT",30/10/1994,5/03/1995
,"Vic, SA",30/10/1994,26/03/1995
1995-96,Tas,1/10/1995,31/03/1996
,"Vic, ACT, NSW, SA",29/10/1995,31/03/1996
1996-97,Tas,6/10/1996,30/03/1997
,"Vic, ACT, NSW, SA",27/10/1996,30/03/1997
1997-98,Tas,5/10/1997,29/03/1998
,"Vic, ACT, NSW, SA",26/10/1997,29/03/1998
1998-99,Tas,4/10/1998,28/03/1999
,"Vic, ACT, NSW, SA",25/10/1998,28/03/1999
1999-2000,Tas,3/10/1999,26/03/2000
,"Vic, ACT, NSW, SA",31/10/1999,26/03/2000
2000-01,"Vic, ACT, NSW, Tas",27/08/2000,25/03/2001
,SA,29/10/2000,25/03/2001
2001-02,Tas,7/10/2001,31/03/2002
,"Vic, ACT, NSW, SA",28/10/2001,31/03/2002
2002-03,Tas,6/10/2002,30/03/2003
,"Vic, ACT, NSW, SA",27/10/2002,30/03/2003
2003-04,Tas,5/10/2003,28/03/2004
,"Vic, ACT, NSW, SA",26/10/2003,28/03/2004
2004-05,Tas,3/10/2004,27/03/2005
,"Vic, ACT, NSW, SA",31/10/2004,27/03/2005
2005-06,Tas,2/10/2005,2/04/2006
,"Vic, ACT, NSW, SA",30/10/2005,2/04/2006
2006-07,Tas,1/10/2006,25/03/2007
,"Vic, ACT, NSW, SA",29/10/2006,25/03/2007
,WA,3/12/2006,25/03/2007
2007-08,Tas,7/10/2007,6/04/2008
,"Vic, ACT, NSW, SA",28/10/2007,6/04/2008
,WA,28/10/2007,30/03/2008
2008-09,"Tas, Vic, ACT, NSW, SA",5/10/2008,5/04/2009
,WA,26/10/2008,29/03/2009
2009-10,"Tas, Vic, ACT, NSW, SA",4/10/2009,4/04/2010
2010-11,"Tas, Vic, ACT, NSW, SA",3/10/2010,3/04/2011
2011-12,"Tas, Vic, ACT, NSW, SA",2/10/2011,1/04/2012
2012-13,"Tas, Vic, ACT, NSW, SA",7/10/2012,7/04/2013
2013-14,"Tas, Vic, ACT, NSW, SA",6/10/2013,6/04/2014
2014-15,"Tas, Vic, ACT, NSW, SA",5/10/2014,5/04/2015
2015-16,"Tas, Vic, ACT, NSW, SA",4/10/2015,3/04/2016
2016-17,"Tas, Vic, ACT, NSW, SA",2/10/2016,2/04/2017
2017-18,"Tas, Vic, ACT, NSW, SA",1/10/2017,1/04/2018
